Sample,Pho80,Pho4,Pho2,Condition,GT
D1,del80,Cgla4,Scer2,hiPi,Cgla4.Scer2
D2,del80,Cgla4,Scer2,hiPi,Cgla4.Scer2
E1,del80,Cgla4,del2,hiPi,Cgla4.del2
E2,del80,Cgla4,del2,hiPi,Cgla4.del2
F1,del80,Cniv4,Scer2,hiPi,Cniv4.Scer2
F2,del80,Cniv4,Scer2,hiPi,Cniv4.Scer2
G1,del80,Cniv4,del2,hiPi,Cniv4.del2
G2,del80,Cniv4,del2,hiPi,Cniv4.del2
H1,del80,Cbra4,Scer2,hiPi,Cbra4.Scer2
H2,del80,Cbra4,Scer2,hiPi,Cbra4.Scer2
I1,del80,Cbra4,del2,hiPi,Cbra4.del2
I2,del80,Cbra4,del2,hiPi,Cbra4.del2
J1,del80,Nbac4,Scer2,hiPi,Nbac4.Scer2
J2,del80,Nbac4,Scer2,hiPi,Nbac4.Scer2
K1,del80,Nbac4,del2,hiPi,Nbac4.del2
K2,del80,Nbac4,del2,hiPi,Nbac4.del2
L1,del80,Ndel4,Scer2,hiPi,Ndel4.Scer2
L2,del80,Ndel4,Scer2,hiPi,Ndel4.Scer2
M1,del80,Ndel4,del2,hiPi,Ndel4.del2
M2,del80,Ndel4,del2,hiPi,Ndel4.del2
A1a,del80,Scer4,Scer2,hiPi,Scer4.Scer2.a
A2a,del80,Scer4,Scer2,hiPi,Scer4.Scer2.a
B1a,del80,Scer4,del2,hiPi,Scer4.del2.a
B2a,del80,Scer4,del2,hiPi,Scer4.del2.a
C1a,del80,del4,Scer2,hiPi,del4.Scer2.a
C2a,del80,del4,Scer2,hiPi,del4.Scer2.a
D1a,del80,del4,del2,hiPi,del4.del2.a
D2a,del80,del4,del2,hiPi,del4.del2.a
G1a,del80,Spar4,del2,hiPi,Spar4.del2.a
G2a,del80,Spar4,del2,hiPi,Spar4.del2.a
H1a,del80,Lklu4,del2,hiPi,Lklu4.del2.a
H2a,del80,Lklu4,del2,hiPi,Lklu4.del2.a
I1a,del80,Spar4,Scer2,hiPi,Spar4.Scer2.a
I2a,del80,Spar4,Scer2,hiPi,Spar4.Scer2.a
J1a,del80,Lklu4,Scer2,hiPi,Lklu4.Scer2.a
J2a,del80,Lklu4,Scer2,hiPi,Lklu4.Scer2.a
